df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
course_num,385.0,214.66559943986,1020.0,992.53440502388
liked,13.7,12.392767788,173.0,187.915329688
easy,18.5,12.392767788,179.0,187.915329688
useful,17.0,12.392767788,180.0,187.915329688
course_title,1370.0,459.96100484432003,3120.0,2641.11698803776
reviews,1780.0,1067.2192300229601,4460.0,15054.075222371759
num_reviews,682.0,51.03511203054,1960.0,181.55427066844322
course_unit,387.0,215.95751493044,1020.0,1019.51267620088
easy,672.0,51.03511203054,1970.0,181.55427066844322
num_ratings,661.0,51.03511203054,1860.0,181.55427066844322
useful,659.0,51.03511203054,1860.0,181.55427066844322
liked,660.0,51.03511203054,1920.0,181.55427066844322
course_rating_int,664.0,75.65899259912,1830.0,174.496669454396
course_num,1270.0,379.2924558023,2820.0,956.56563202476
course_rating,1150.0,410.64889898372,2960.0,1611.36281764776
course_code,1100.0,393.26333646074005,2950.0,1248.31088141076
course_code,1100.0,393.26333646074005,2900.0,1248.31088141076
course_title,1170.0,459.96100484432003,2990.0,2641.11698803776
num_ratings,661.0,51.03511203054,2050.0,181.55427066844322
useful,658.0,51.03511203054,1830.0,181.55427066844322
easy,659.0,51.03511203054,1820.0,181.55427066844322
liked,660.0,51.03511203054,1900.0,181.55427066844322
num_reviews,657.0,51.03511203054,1820.0,181.55427066844322
reviews,1790.0,1067.2192300229601,4570.0,15054.075222371759
course_rating,1150.0,410.64889898372,2930.0,1611.36281764776
course_rating_int,676.0,75.65899259912,1820.0,174.496669454396
course_num,1270.0,379.2924558023,2800.0,956.56563202476
course_title,1170.0,459.96100484432003,2930.0,2641.11698803776
reviews,1800.0,1067.2192300229601,4660.0,15054.075222371759
num_reviews,656.0,51.03511203054,2000.0,181.55427066844322
easy,655.0,51.03511203054,1830.0,181.55427066844322
num_ratings,659.0,51.03511203054,1860.0,181.55427066844322
useful,658.0,51.03511203054,1860.0,181.55427066844322
liked,662.0,51.03511203054,1830.0,181.55427066844322
course_rating_int,673.0,75.65899259912,1840.0,174.496669454396
course_num,1260.0,379.2924558023,2850.0,956.56563202476
course_rating,1120.0,410.64889898372,2900.0,1611.36281764776
course_code,1120.0,393.26333646074005,2850.0,1248.31088141076
course_code,1120.0,393.26333646074005,2860.0,1248.31088141076
num_ratings,681.0,51.03511203054,1740.0,181.55427066844322
useful,682.0,51.03511203054,1830.0,181.55427066844322
easy,661.0,51.03511203054,1810.0,181.55427066844322
liked,674.0,51.03511203054,1850.0,181.55427066844322
